State,1-Sep,1-Sep,1-Sep,1-Sep,1-Sep,1-Sep,1-Sep,1-Sep,1-Sep,1-Sep,1-Sep
Alabama,11.7,10,9.4,7.9,7.2,6.5,6.1,5.9,4,3.8,3
Alaska,8,7.8,7.5,7,7,6.8,6.5,6.9,7,6.5,6.2
Arizona,10.6,10.1,9.4,8.1,7.7,6.6,5.9,5.3,4.7,4.8,4.9
Arkansas,8,8.2,8.2,7.5,7.1,5.8,4.7,3.9,3.7,3.6,3.5
California,11.7,12.2,11.6,10,8.7,7.2,5.9,5.4,4.6,4.1,4
Colorado,7.7,8.9,8.2,7.7,6.6,4.5,3.6,3.1,2.8,3.5,2.7
Connecticut,8.4,9.2,8.6,8.4,7.7,6.4,5.6,5,4.6,3.9,3.6
Delaware,8.6,8.3,7.4,7.3,6.4,5.5,4.8,4.5,4.4,3.6,3.5
District of Columbia,9.9,9.3,10.3,8.7,8.4,7.7,6.6,6,6,5.4,5.4
Florida,10.9,11,9.7,8.3,6.9,6.1,5.3,4.8,4,3.3,3.2
Georgia,10.4,10.5,10.2,8.9,7.9,6.9,5.7,5.4,4.4,3.7,3.5
Hawaii,7.3,7,6.9,5.6,4.8,4.2,3.4,2.9,2.3,2.6,2.7
Idaho,9.4,8.8,8.1,7,5.9,4.6,4.1,3.7,3.1,2.7,2.9
Illinois,10.8,9.9,10,8.9,9,6.6,5.9,5.6,4.9,4.2,3.9
Indiana,10.5,10,9.4,8.3,7.2,5.8,4.5,4.2,3.5,3.5,3.2
Iowa,6.5,5.9,5.5,5,4.6,4.2,3.7,3.6,3,2.4,2.5
Kansas,7.2,7,6.3,5.6,5.2,4.4,4,4.1,3.6,3.3,3.2
Kentucky,10.6,10,9.3,8.2,8,5.9,5.2,5.1,4.7,4.3,4.4
Louisiana,7.1,8.3,7.6,6.7,6.4,6.9,6,6.1,4.8,4.9,4.3
Maine,8.2,8.1,7.8,7.3,6.4,5.4,4.1,3.7,3.3,3.5,2.9
Maryland,7.3,7.6,7.2,6.9,6.4,5.7,4.9,4.4,4.2,3.8,3.7
Massachusetts,8.6,8,7,6.7,6.6,5.6,4.7,3.7,3.7,3.2,2.9
Michigan,14.2,12,10.2,9.1,8.7,6.8,5.1,5.1,4.6,3.9,4.2
Minnesota,7.9,7.3,6.3,5.6,4.8,3.9,3.6,4,3.3,2.8,3.2
Mississippi,9.9,10,10,9,8.3,7.2,6.2,5.7,5,4.7,5.4
Missouri,9.6,9.5,8.2,6.8,6.6,5.8,4.6,4.8,3.6,3,3.1
Montana,6.8,7.2,6.8,5.9,5.3,4.5,4.2,4.1,3.9,3.7,3.3
Nebraska,4.8,4.5,4.3,4,3.7,3.1,3.1,3.1,2.8,2.7,3.1
Nevada,12,13.7,12.9,10.8,9.2,7.6,6.6,5.5,4.9,4.5,4.1
New Hampshire,6.4,5.7,5.5,5.6,4.9,4.1,3.1,2.8,2.7,2.4,2.5
New Jersey,9.7,9.4,9.3,9.3,7.9,6.6,5.3,4.9,4.7,3.9,3.1
New Mexico,7.8,8.1,7.6,7,7,6.5,6.5,6.7,5.6,4.9,4.9
New York,8.8,8.5,8.4,8.4,7.6,6,4.9,4.9,4.7,3.8,3.9
North Carolina,10.8,10.4,10.3,9.2,7.5,6.1,5.6,5.1,4.3,3.7,4.1
North Dakota,4,3.7,3.5,3.1,2.8,2.7,2.8,3,2.7,2.6,2.5
Ohio,10.7,9.9,8.8,7.2,7.4,5.5,4.7,5.1,4.9,4.6,4.2
Oklahoma,6.8,6.6,5.9,5.2,5.3,4.3,4.4,4.9,4.1,3.1,3.2
Oregon,11.1,10.4,9.5,8.7,7.6,6.5,5.4,4.7,4.1,4.1,4.1
Pennsylvania,8.3,8.2,8,7.9,7.1,5.6,5.2,5.4,4.8,4.2,4
Rhode Island,11.2,11.2,11.1,10.1,9.2,7.1,5.7,5.1,4.4,3.9,3.6
South Carolina,11.5,10.9,10.6,8.9,7.2,6.7,5.6,4.8,4.2,3.2,2.9
South Dakota,5,4.9,4.6,4.3,3.7,3.3,3,3.1,3.2,2.9,3
Tennessee,10.7,9.3,8.8,7.7,7.6,6.6,5.3,4.8,3.4,3.4,3.4
Texas,8.3,8.1,7.7,6.5,6.1,4.9,4.4,4.8,4.1,3.7,3.4
Utah,7.6,7.8,6.4,5.2,4.4,3.8,3.6,3.3,3.2,3.1,2.7
Vermont,6.5,6,5.4,4.9,4.3,3.9,3.5,3.2,2.9,2.6,2.2
Virginia,7,7,6.7,5.9,5.7,5.1,4.2,4.2,3.6,2.8,2.7
Washington,10.2,9.8,9.2,7.8,6.9,6,5.6,5.2,4.7,4.4,4.6
West Virginia,8.2,8.7,7.9,7.6,6.6,6.5,6.6,5.9,5.3,5.1,4.7
Wisconsin,9,8.4,7.7,6.9,6.6,5.1,4.4,3.9,3.2,3,3.2
Wyoming,6.9,6.1,5.7,5.3,4.6,4.1,4.4,5.2,4.2,4.2,3.8
Puerto Rico,16,16,15.6,14,14.5,14,12,11.9,10.6,8.4,7.6
